id,name,symbol,dedust,stonfi
EQBiHSLVzoicc-LQPDXJc_rF-WRft0aFihccFduA6fQ1ynYM,Baron,BARO,True,True
EQBl3gg6AAdjgjO2ZoNU5Q5EzUIl8XMNZrix8Z5dJmkHUfxI,Lavandos,LAVE,True,True
EQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM9c,Toncoin,TON,True,True
EQDzDlDRxJW92eRG-9phgWfTw-n2lVpMtP88jz4YRuk5aLAO,,,True,False
EQAOBWtVrkBCNxAU31AS54HlnyKLd5PGpARoGkPD9G4TMsKm,,,True,False
EQBdGAVGYCSBriFx3y44EvwY597ftaXb1JTpcPGlpu-slIsL,,,True,False
EQBagD4VAjQ-6Qg3JWtS54A1_dXw_ujsQmfQ6dO4TtjmV8us,,,True,False
EQAhiOExYp6PgesHhyoHVT7isIcQ2Uf5RBTpgl9hXnre6tRa,,,True,True
EQDPnVZurFS798DxWDSnj5iUHDfbho57oZ2qnlS5niq9B4YE,,,True,True
EQAuC2r0eiXqe9otLSVI9hwhC3m_3BlQD-u6l6wwDZH5pJ9-,,,True,False
EQBCFwW8uFUh-amdRmNY9NyeDEaeDYXd9ggJGsicpqVcHq7B,DHD Coin,DHD,True,True
EQD26zcd6Cqpz7WyLKVH8x_cD6D7tBrom6hKcycv8L8hV0GP,DeFinder Capital,DFC,True,True
EQCqJH9ElJXxmzxR3XKFXPqa-hkDq8bZJravr0q8iZl9v2b-,,,True,False
EQDzCNIjlBhSHAWuNwga2mCPuNMEObaedJWSL_GSfzeNzY1B,,,True,True
EQCfUsgDcZDHJY2OeKcZaAWYidm-Oxoa3Qalu92eps5TuO4j,,,True,False
EQBxitwod3gcnfdVKUL4DbjcxICKs9iUL80O5MSCZsI8J4gg,,,True,True
EQC-tdRjjoYMz3MXKW4pj95bNZgvRyWwZ23Jix3ph7guvHxJ,KINGYTON,KINGY,True,True
EQAfEtXILi5YuY3xkp0i2BPhIDqQCWboOgzDfwT8ZiHaESnU,,,True,False
EQAwZF-QJl4XAKXIig7_mZZjSTww0ljzSsNdX722m91PTl8W,,,True,True
EQC3RlJamDRO0ocwzOl4AYsLOFlMfxgUPaCBo2wpDNyuosF0,,,True,False
EQDoHD4YpjXmYaVUnDKYSf1hA12i_Jdzh6nuFcYe4kwa_NF6,,,True,False
EQCMDE8Ffe-40QGryoSyazN_YlCHr-Hp_oc3-duz2GsaW-_w,TON GAIKA,GAIKA,True,False
EQD0vdSA_NedR9uvbgN9EikRX-suesDxGeFg69XQMavfLqIw,Bolt,BOLT,True,True
EQACGPrFHWCy9QmeFXPqvZflyoeBb5grVQxAaucF0hNd1sEs,Stalin,IVS,True,False
EQAT2FWDU78RA_KozwPm-wxs-PdAySPtvejL0ZEPYL8zpN2X,,,True,False
EQAp7qnAhVI4-ImX85I8fh-cmwZ8v2INfx8tKSI5WmiuTTIn,,,True,False
EQDX0EgeXNO0ZByY7CIZsXFZSeyDXyzuw4ytTUl4B6FnNz-s,,,True,False
EQAAWize2ux-T4FwYM5V9H65PJw19BONBmFC4pfQrCE_KMQP,,,True,False
EQAS2elYb6_hqWyOl7gpuYTzf1sqmjLJQ0lQ4X_4d_MvtMWR,Love You,LOVE,True,True
EQDoEAodkem9PJdk3W1mqjnkvRphNaWu0glIRzxQBNZuOIbP,,,True,True
EQBs8yWMYZCL90ghvbqVHp3uJa24XJJDT18n1bibSSA4uf_g,,,True,False
EQAPfOAzoJLLI666oq-MhLWHqu2aZxwr7y22PyQeHm8c3XVm,,,True,False
EQDd9RwodLT5OcosoHbg_OtQxqBLAs1F_Z5wl6PAyyiEu5Lx,,,True,False
EQBSWBGea7NK6sT79WNRVgq4NIPzfsYICgH2PHYQJgZ9JJrl,,,True,True
EQBlqsm144Dq6SjbPI4jjZvA1hqTIP3CvHovbIfW_t-SCALE,Scaleton,SCALE,True,True
EQCcLAW537KnRg_aSPrnQJoyYjOZkzqYp6FVmRUvN1crSazV,Ambra,AMBR,True,True
EQD87C7lg86ksw7M9e-Z_gW9zrfibt3dvKzO7EsSCFO2x94B,,,True,True
EQADrmrp8PMlYwUTNV7dTqpQSCOk8Y4ybwA2E3zw5Xav7ek2,,,True,False
EQCY55rw4r0hS_8P0wTvjYXexgk9xUzUuZPggd_wqezhVF1e,,,True,False
EQDMcc_amgFZeowS22e7CXXoI3_CT3XYH9Dy7eTu5qcy5MR0,,,True,False
EQC98_qAmNEptUtPc7W6xdHh_ZHrBUFpw5Ft_IzNU20QAJav,,,True,True
